test_case_id,order_id,order_date,supplier_name,original_item_name,quantity,unit_price
TC001,ORD0001,2026-07-01,공급사A,코카콜라 355ml,1,1000
TC002,ORD0002,2026-07-02,공급사A,코카355캔,1,1000
TC003,ORD0003,2026-07-03,공급사A,코카콜라제로355,1,1000
TC004,ORD0004,2026-07-04,공급사A,삼다수500,1,1000
TC005,ORD0005,2026-07-05,공급사A,서울우유1리터,1,1000
TC006,ORD0006,2026-07-06,공급사A,신라면120g,1,1000
TC007,ORD0007,2026-07-07,공급사A,코카 콜라 캔 355 ml,1,1000
TC008,ORD0008,2026-07-08,공급사A,Coca Cola 355ML CAN,1,1000
TC009,ORD0009,2026-07-09,공급사A,코카콜라 355㎖ 캔,1,1000
TC010,ORD0010,2026-07-10,공급사A,[행사] 코카콜라캔355ml,1,1000
TC011,ORD0011,2026-07-11,공급사A,펩시 355 캔,1,1000
TC012,ORD0012,2026-07-12,공급사A,PEPSI COLA CAN 355ML,1,1000
TC013,ORD0013,2026-07-13,공급사A,제주 삼다수 생수 500ML,1,1000
TC014,ORD0014,2026-07-14,공급사A,매일 오리지널 우유 1000ml,1,1000
TC015,ORD0015,2026-07-15,공급사A,매일우유 오리지날 1리터,1,1000
TC016,ORD0016,2026-07-16,공급사A,농심 신라면 봉지 120G,1,1000
TC017,ORD0017,2026-07-17,공급사A,진라면 매운맛 120그램,1,1000
TC018,ORD0018,2026-07-18,공급사A,오뚜기 진라면(매운)120g,1,1000
TC019,ORD0019,2026-07-19,공급사A,동원 라이트 참치캔 150g,1,1000
TC020,ORD0020,2026-07-20,공급사A,SPAM CLASSIC 200G,1,1000
TC021,ORD0021,2026-07-21,공급사A,백설 흰설탕 1KG,1,1000
TC022,ORD0022,2026-07-22,공급사A,해표식용유 0.9L,1,1000
TC023,ORD0023,2026-07-23,공급사A,오리온 초코파이 12P,1,1000
TC024,ORD0024,2026-07-24,공급사A,롯데 칸초 54g,1,1000
TC025,ORD0025,2026-07-25,공급사A,맥심 모카골드 100스틱,1,1000
TC026,ORD0026,2026-07-26,공급사A,동서 결명자 티백 100T,1,1000
TC027,ORD0027,2026-07-27,공급사A,깨끗한나라 휴지 30롤,1,1000
TC028,ORD0028,2026-07-28,공급사A,크리넥스 티슈 250매,1,1000
TC029,ORD0029,2026-07-01,공급사A,퍼실 딥클린 세제 2700ml,1,1000
TC030,ORD0030,2026-07-02,공급사A,퐁퐁 주방용세제 1.2리터,1,1000
TC031,ORD0031,2026-07-03,공급사B,코카 콜라 캔 355 ml,1,1000
TC032,ORD0032,2026-07-04,공급사C,코카 콜라 캔 355 ml,1,1000
TC033,ORD0033,2026-07-05,공급사B,진라면 매운맛 120그램,1,1000
TC034,ORD0034,2026-07-06,공급사D,진라면 매운맛 120그램,1,1000
TC035,ORD0035,2026-07-07,공급사A,비비고 왕교자 1.05kg,1,1000
TC036,ORD0036,2026-07-08,공급사A,고등어 순살 구이 500g,1,1000
TC037,ORD0037,2026-07-09,공급사A,임연수어 구이 400G,1,1000
TC038,ORD0038,2026-07-10,공급사A,무가당 귀리음료 950ml,1,1000
TC039,ORD0039,2026-07-11,공급사A,프로틴바 초코맛 45g,1,1000
TC040,ORD0040,2026-07-12,공급사A,콜라 355,1,1000
TC041,ORD0041,2026-07-13,공급사A,우유 1L,1,1000
TC042,ORD0042,2026-07-14,공급사A,라면 매운맛,1,1000
TC043,ORD0043,2026-07-15,공급사A,참치캔 150g,1,1000
TC044,ORD0044,2026-07-16,공급사A,휴지 대용량,1,1000
TC045,ORD0045,2026-07-17,공급사A,,1,1000
TC046,ORD0046,2026-07-18,공급사A,   ,1,1000
TC047,ORD0047,2026-07-19,공급사A,####,1,1000
TC048,ORD0048,2026-07-20,공급사A,123456,1,1000
TC049,ORD0049,2026-07-21,공급사A,상품A/상품B,1,1000
TC050,ORD0050,2026-07-22,공급사A,코카콜라355ml+펩시355ml,1,1000
TC051,ORD0051,2026-07-23,공급사A,코카콜라 355ml 500ml,1,1000
TC052,ORD0052,2026-07-24,공급사A,신라면 5입 120g,1,1000
TC053,ORD0053,2026-07-25,공급사A,칸초 롯데 54G,1,1000
TC054,ORD0054,2026-07-26,공급사E,칸초 롯데 54G,1,1000
TC055,ORD0055,2026-07-27,공급사A,임연수구이400,1,1000
TC056,ORD0056,2026-07-28,공급사F,임연수구이400,1,1000
TC057,ORD0057,2026-07-01,공급사A,코카콜라 355ml,10,900
TC058,ORD0058,2026-07-02,공급사A,신라면120g,20,750
TC059,ORD0059,2026-07-03,공급사A,동원참치150,6,2200
TC060,ORD0060,2026-07-04,공급사A,맥심모카100T,4,15500
